code,name,assetType,currency,fetchEnabled,sourceHint,notes
01313098,野村世界業種別投資シリーズ（世界半導体株投資）,mutualFund,JPY,true,wealthadvisor,
03311187,eMAXIS Slim 米国株式（S&P500）,mutualFund,JPY,true,wealthadvisor,
0331418A,eMAXIS Slim 全世界株式（オール・カントリー）,mutualFund,JPY,true,wealthadvisor,
29313233,ニッセイNASDAQ100インデックスファンド,mutualFund,JPY,true,wealthadvisor,
4731299C,DLIBJ公社債オープン（中期コース）,mutualFund,JPY,true,wealthadvisor,
AJ312217,Smart-i ゴールドファンド（為替ヘッジあり）,mutualFund,JPY,true,wealthadvisor,
1605,INPEX,japanStock,JPY,true,yahoo-japan,
1662,石油資源開発,japanStock,JPY,true,yahoo-japan,
167A,リョーサン菱洋ホールディングス,japanStock,JPY,true,yahoo-japan,
1833,奥村組,japanStock,JPY,true,yahoo-japan,
2802,味の素,japanStock,JPY,true,yahoo-japan,
2914,JT,japanStock,JPY,true,yahoo-japan,
3245,ディア・ライフ,japanStock,JPY,true,yahoo-japan,
4041,日本曹達,japanStock,JPY,true,yahoo-japan,
4061,デンカ,japanStock,JPY,true,yahoo-japan,
4063,信越化学工業,japanStock,JPY,true,yahoo-japan,
4452,花王,japanStock,JPY,true,yahoo-japan,
4502,武田薬品工業,japanStock,JPY,true,yahoo-japan,
4503,アステラス製薬,japanStock,JPY,true,yahoo-japan,
4519,中外製薬,japanStock,JPY,true,yahoo-japan,
4568,第一三共,japanStock,JPY,true,yahoo-japan,
4661,オリエンタルランド,japanStock,JPY,true,yahoo-japan,
4901,富士フイルムHD,japanStock,JPY,true,yahoo-japan,
5021,コスモエネルギーホールディングス,japanStock,JPY,true,yahoo-japan,
5401,日本製鉄,japanStock,JPY,true,yahoo-japan,
5444,大和工業,japanStock,JPY,true,yahoo-japan,
6098,リクルートHD,japanStock,JPY,true,yahoo-japan,
6305,日立建機,japanStock,JPY,true,yahoo-japan,
6367,ダイキン工業,japanStock,JPY,true,yahoo-japan,
6501,日立製作所,japanStock,JPY,true,yahoo-japan,
6723,ルネサスエレクトロニクス,japanStock,JPY,true,yahoo-japan,
6758,ソニーグループ,japanStock,JPY,true,yahoo-japan,
6857,アドバンテスト,japanStock,JPY,true,yahoo-japan,
6954,ファナック,japanStock,JPY,true,yahoo-japan,
6981,村田製作所,japanStock,JPY,true,yahoo-japan,
7011,三菱重工業,japanStock,JPY,true,yahoo-japan,
7203,トヨタ自動車,japanStock,JPY,true,yahoo-japan,
7278,エクセディ,japanStock,JPY,true,yahoo-japan,
7741,HOYA,japanStock,JPY,true,yahoo-japan,
7974,任天堂,japanStock,JPY,true,yahoo-japan,
8001,伊藤忠商事,japanStock,JPY,true,yahoo-japan,
8058,三菱商事,japanStock,JPY,true,yahoo-japan,
8304,あおぞら銀行,japanStock,JPY,true,yahoo-japan,
8306,三菱UFJ FG,japanStock,JPY,true,yahoo-japan,
8316,三井住友FG,japanStock,JPY,true,yahoo-japan,
8410,セブン銀行,japanStock,JPY,true,yahoo-japan,
8473,SBIホールディングス,japanStock,JPY,true,yahoo-japan,
8593,三菱HCキャピタル,japanStock,JPY,true,yahoo-japan,
8766,東京海上HD,japanStock,JPY,true,yahoo-japan,
8892,日本エスコン,japanStock,JPY,true,yahoo-japan,
9022,JR東海,japanStock,JPY,true,yahoo-japan,
9104,商船三井,japanStock,JPY,true,yahoo-japan,
9432,NTT,japanStock,JPY,true,yahoo-japan,
9433,KDDI,japanStock,JPY,true,yahoo-japan,
9436,沖縄セルラー電話,japanStock,JPY,true,yahoo-japan,
9503,関西電力,japanStock,JPY,true,yahoo-japan,
9513,電源開発,japanStock,JPY,true,yahoo-japan,
9735,セコム,japanStock,JPY,true,yahoo-japan,
9759,NSD,japanStock,JPY,true,yahoo-japan,
9843,ニトリHD,japanStock,JPY,true,yahoo-japan,
AAPL,Apple,usStock,USD,true,yahoo-us,
ABBV,AbbVie,usStock,USD,true,yahoo-us,
ACN,Accenture,usStock,USD,true,yahoo-us,
AEHR,Aehr Test Systems,usStock,USD,true,yahoo-us,
AMAT,Applied Materials,usStock,USD,true,yahoo-us,
AMZN,Amazon,usStock,USD,true,yahoo-us,
ASML,ASML Holding,usStock,USD,true,yahoo-us,
AVGO,Broadcom,usStock,USD,true,yahoo-us,
AWK,American Water Works,usStock,USD,true,yahoo-us,
BRK.B,Berkshire Hathaway,usStock,USD,true,yahoo-us,
CB,Chubb,usStock,USD,true,yahoo-us,
CEG,Constellation Energy,usStock,USD,true,yahoo-us,
COST,Costco,usStock,USD,true,yahoo-us,
CSCO,Cisco,usStock,USD,true,yahoo-us,
CVX,Chevron,usStock,USD,true,yahoo-us,
DAL,Delta Air Lines,usStock,USD,true,yahoo-us,
DUK,Duke Energy,usStock,USD,true,yahoo-us,
ETN,Eaton,usStock,USD,true,yahoo-us,
GOOGL,Alphabet,usStock,USD,true,yahoo-us,
IONQ,IonQ,usStock,USD,true,yahoo-us,
ISRG,Intuitive Surgical,usStock,USD,true,yahoo-us,
JNJ,Johnson & Johnson,usStock,USD,true,yahoo-us,
JPM,JPMorgan Chase,usStock,USD,true,yahoo-us,
KO,Coca-Cola,usStock,USD,true,yahoo-us,
LIN,Linde,usStock,USD,true,yahoo-us,
LLY,Eli Lilly,usStock,USD,true,yahoo-us,
MA,Mastercard,usStock,USD,true,yahoo-us,
META,Meta Platforms,usStock,USD,true,yahoo-us,
MSFT,Microsoft,usStock,USD,true,yahoo-us,
NEE,NextEra Energy,usStock,USD,true,yahoo-us,
NVDA,NVIDIA,usStock,USD,true,yahoo-us,
O,Realty Income,usStock,USD,true,yahoo-us,
ORCL,Oracle,usStock,USD,true,yahoo-us,
PEP,PepsiCo,usStock,USD,true,yahoo-us,
PG,Procter & Gamble,usStock,USD,true,yahoo-us,
RKLB,Rocket Lab,usStock,USD,true,yahoo-us,
SO,Southern Company,usStock,USD,true,yahoo-us,
TMO,Thermo Fisher,usStock,USD,true,yahoo-us,
TSM,Taiwan Semiconductor,usStock,USD,true,yahoo-us,
UNH,UnitedHealth,usStock,USD,true,yahoo-us,
UPS,UPS,usStock,USD,true,yahoo-us,
V,Visa,usStock,USD,true,yahoo-us,
VZ,Verizon,usStock,USD,true,yahoo-us,
WCN,Waste Connections,usStock,USD,true,yahoo-us,
WM,Waste Management,usStock,USD,true,yahoo-us,
WMB,Williams Companies,usStock,USD,true,yahoo-us,
XOM,Exxon Mobil,usStock,USD,true,yahoo-us,
BTC,Bitcoin,crypto,JPY,true,coingecko,
DOGE,Dogecoin,crypto,JPY,true,coingecko,
ETH,Ethereum,crypto,JPY,true,coingecko,
SOL,Solana,crypto,JPY,true,coingecko,
XRP,XRP,crypto,JPY,true,coingecko,
